mode B, n = 5..45, at most 4 socle factors

(B) admissible factorizations with NO alternating socle factor.

   n  #cand   #adm  #alt-free  witnesses
   5      0      0          0  --
   6      3      0          0  --
   7      8      0          0  --
   8      9      6          4  L2(7) * L2(5) * c=2; L2(7) * L2(4) * c=2; L3(2) * L2(5) * c=2; L3(2) * L2(4) * c=2
   9     15      5          3  L2(8) * L2(5) * c=6; L2(8) * L2(4) * c=6; L2(8) * L2(9) * c=1
  10     17      8          3  L2(8) * L2(5) * L2(5) * c=1; L2(8) * L2(4) * L2(5) * c=1; L2(8) * L2(4) * L2(4) * c=1
  11     22      4          2  L2(11) * L2(8) * L2(5) * c=1; L2(11) * L2(8) * L2(4) * c=1
  12     24     13          7  L2(11) * L2(8) * L2(5) * c=12; L2(11) * L2(8) * L2(4) * c=12; L2(11) * L2(8) * L2(9) * c=2; U3(3) * L2(11) * L2(5) * c=1; U3(3) * L2(11) * L2(4) * c=1; M11 * L2(8) * L2(5) * c=1
  13     32      5          3  M11 * L2(13) * L2(9) * c=1; L2(27) * L2(11) * L2(5) * c=8; L2(27) * L2(11) * L2(4) * c=8
  14     35     10          5  L2(13) * L2(11) * L2(9) * L2(7) * c=1; L2(13) * L2(11) * L2(9) * L3(2) * c=1; L2(13) * L2(11) * L2(8) * L2(5) * c=2; L2(13) * L2(11) * L2(8) * L2(4) * c=2; L3(4) * L2(13) * L2(11) * c=3
  15     43      2          0  --
  16     49     74         36  L2(25) * L2(11) * L2(8) * L2(7) * c=24; L2(25) * L2(11) * L2(8) * L3(2) * c=24; L2(25) * L2(11) * L2(8) * L2(8) * c=8; L2(25) * U3(3) * L2(11) * L2(7) * c=2; L2(25) * U3(3) * L2(11) * L3(2) * c=2; M11 * L2(25) * L2(8) * L2(7) * c=2
  17     57      4          1  L3(4) * L2(16) * L2(13) * L2(11) * c=3
  18     60     20          9  L3(4) * L2(27) * L2(16) * L2(11) * c=6; L4(2) * L2(27) * L2(16) * L2(11) * c=6; L2(64) * L2(16) * L2(11) * L2(8) * c=9; M22 * L2(27) * L2(16) * L2(5) * c=3; M22 * L2(27) * L2(16) * L2(4) * c=3; S4(4) * L2(27) * L2(11) * L2(7) * c=3
  19     65      4          3  J1 * L2(27) * L2(16) * L2(9) * c=24; M22 * L2(27) * L2(16) * L2(19) * c=1; L3(9) * J1 * L2(16) * c=2
  20     68     10          4  J1 * U3(5) * L3(3) * L2(17) * c=4; S4(4) * J1 * L2(27) * L2(5) * c=12; S4(4) * J1 * L2(27) * L2(4) * c=12; S4(4) * J1 * L2(27) * L2(9) * c=2
  21     73      4          2  J2 * J1 * L2(27) * L2(16) * c=6; J3 * L2(49) * M11 * L2(13) * c=1
  22     76      4          1  HS * J1 * L2(27) * L2(17) * c=3
  23     82      0          0  --
  24     86      2          1  L3(9) * M23 * J1 * L2(16) * c=1
  25     89      0          0  --
  26     91      1          0  --
  27     94      2          2  Co3 * L2(169) * J1 * S4(3) * c=1; Co3 * L2(169) * J1 * U4(2) * c=1
  28     97      4          0  --
  29    100      0          0  --
  30    101      1          0  --
  31    116      0          0  --
  32    120      1          0  --
  33    123      2          0  --
  34    126      0          0  --
  35    127      0          0  --
  36    129      0          0  --
  37    135      0          0  --
  38    136      1          0  --
  39    137      0          0  --
  40    141      0          0  --
  41    152      0          0  --
  42    154      1          0  --
  43    165      0          0  --
  44    166      1          0  --
  45    168      0          0  --

TOTAL admissible factorizations n = 5..45: 189
TOTAL with no alternating socle factor:        86
