S                       iota(S)    B (max orbit floor)    ratio  argmax
M11                          55                     40   0.7273  A6^1 
M12                         220                     55   0.2500  M11^1 
M22                          77                    252   3.2727  L3(4)^1 
M23                         253                    252   0.9960  L3(4)^1 
M24                         759                    440   0.5797  M12^1 
J1                         1045                     24   0.0230  L2(11)^1 
J2                          280                    252   0.9000  L3(4)^1 
J3                        17442                     68   0.0039  L2(16)^1 
J4                    173067389                   7992   0.0000  U3(11)^1 
HS                         3850                    756   0.1964  U3(5)^1 
McL                       15400                    896   0.0582  U4(3)^1 
He                         8330                    560   0.0672  J2^1 
Ru                       188500                   3510   0.0186  2F4(2)'^1 
Suz                       22880                   3510   0.1534  2F4(2)'^1 
ON                      2857239                   9234   0.0032  U3(8)^1 
Co1                     1545600                 128800   0.0833  Co3^1 
Co2                       46575                  30800   0.6613  McL^1 
Co3                      128800                  30800   0.2391  McL^1 
Fi22                       3510                  45760  13.0370  Suz^1 
Fi23                      31671                  45760   1.4449  Suz^1 
Fi24'                4860485028                  45760   0.0000  Suz^1 
HN                      1539000                  30800   0.0200  McL^1 
Ly                      9606125                  30800   0.0032  McL^1 
Th                    283599225                   9234   0.0000  U3(8)^1 
B                   13571955000              283599225   0.0209  Th^1 
M          97239461142009186000            13571955000   0.0000  B^1 
2F4(2)'                    1755                    260   0.1481  U3(4)^1 
