# c   #pts_on_C_c   max log|4ck|   witness(k,q)   2logc+log2   ratio logX/logc
6     1            3.8712   (2,0)     4.2767    2.161
24    3            7.1293   (13,9)     7.0493    2.243   THRESHOLD-1 VIOLATED
30    3           12.3854   (1994,16256)     7.4955    3.641   THRESHOLD-1 VIOLATED
48    1            7.2034   (7,2)     8.4355    1.861
60    2            8.4764   (20,11)     8.8818    2.070
72    3            9.2739   (37,26)     9.2465    2.168   THRESHOLD-1 VIOLATED
78    1            9.3806   (38,26)     9.4066    2.153
90    1           10.7839   (134,163)     9.6928    2.397   THRESHOLD-1 VIOLATED
102   2           12.5065   (662,1686)     9.9431    2.704   THRESHOLD-1 VIOLATED
120   3           11.7306   (259,380)    10.2681    2.450   THRESHOLD-1 VIOLATED
132   1            8.7540   (12,3)    10.4588    1.793
168   3           11.5007   (147,137)    10.9411    2.244   THRESHOLD-1 VIOLATED
210   2            9.3725   (14,3)    11.3874    1.753
216   1           10.0574   (27,9)    11.4437    1.871
